EFF_DATE,FACILITY_ID,FACILITY_TYPE,STATE_CODE,COUNTRY_CODE,RADAR_TYPE,RADAR_NO,RADAR_HRS,REMARK
2025/03/20,MIB,AIRPORT,ND,US,ASR,2,OPR 24 HRS FROM MON 1300Z++ THRU SAT 0500Z++ SAT AND SUN 1300-0500Z++.,(RADAR_TYPE) DIGITAL ASR NO-NOTAM MP 0600-1200Z++ MON-FRI (1500/3+1).
2025/03/20,MKE,AIRPORT,WI,US,ASR,1,24,
2025/03/20,MKG,AIRPORT,MI,US,ASR,1,0600-2300,
2025/03/20,MLI,AIRPORT,IL,US,ASR,1,24,
2025/03/20,MLU,AIRPORT,LA,US,ASR,1,0600-2200,
2025/03/20,MOB,AIRPORT,AL,US,ASR,1,0600-2300,
2025/03/20,MRB,AIRPORT,WV,US,ASR,1,24,
2025/03/20,MRY,AIRPORT,CA,US,ASR,1,0600-2100,"(RADAR_TYPE) ASR-11 ANTENNA LOCATED MARINA MUNI (OAR), REMOTED TO MONTEREY RGNL (MRY). ASR-11 SERVES MRY AND OAR."
2025/03/20,MSN,AIRPORT,WI,US,ASR,1,0600-2300,
2025/03/20,MSO,AIRPORT,MT,US,ASR,1,0600-2320,
2025/03/20,MSP,AIRPORT,MN,US,ASR,1,24,
2025/03/20,MSY,AIRPORT,LA,US,ASR,1,24,
2025/03/20,MTC,AIRPORT,MI,US,ASR,2,0730-2300,
2025/03/20,MUO,AIRPORT,ID,US,ASR,1,24,
2025/03/20,MWH,AIRPORT,WA,US,ASR,1,0600-2200,
2025/03/20,MYNN,AIRPORT,,BS,ASR,1,24,
2025/03/20,MYR,AIRPORT,SC,US,ASR,1,0600-2300.,
2025/03/20,N90,TRACON,NY,US,ASR,1,24,
2025/03/20,N90,TRACON,NY,US,ASR,2,24,
2025/03/20,N90,TRACON,NY,US,ASR,3,24,
2025/03/20,N90,TRACON,NY,US,ASR,4,24,
2025/03/20,N90,TRACON,NY,US,ASR,5,24,
2025/03/20,NBC,AIRPORT,SC,US,PAR,2,0700-2300 LCL,
2025/03/20,NBC,AIRPORT,SC,US,ASR,3,0700-2300 LCL,
2025/03/20,NBG,AIRPORT,LA,US,ASR,1,MON-FRI 0700-2300.  SAT-SUN 0900-1700.,
2025/03/20,NBG,AIRPORT,LA,US,PAR,2,MON-FRI 0700-2300.  SAT-SUN 0900-1700.,
2025/03/20,NCA,AIRPORT,NC,US,ASR,3,24,
2025/03/20,NCA,AIRPORT,NC,US,PAR,4,24,
2025/03/20,NCT,TRACON,CA,US,ARSR,1,24,
2025/03/20,NCT,TRACON,CA,US,ARSR,2,24,
